periode_data;gedung;kabupaten_kota;kecamatan;kelurahan;rw;alamat;status_rw_kumuh;isp;skema_penyediaan;jumlah_wifi;longitude;latitude;besaran_bandwidth;status
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;4;Jl Swakarya (Depan Rumah Rt 02) 02/04 1, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.2054;106.736898;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;4;Jl. Swakarya 08/04 23D, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.205149;106.736704;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;4;Jl H. Merin 03/04 4, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.206589;106.735166;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Kembangan;Meruya Selatan;4;Jl. H. Kasam 05/04 16, Kel. Meruya Selatan, Kec. Kembangan, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.209155;106.733741;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;5;Jl. Tomang Pulo Gg V RT 16 / RW 05 Disamping gapura Gg. V, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.178114;106.808382;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;5;Jl. Tomang Pulo RT 06 / 05 Sebelah sekretariat RW Siaga 05, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.177187;106.807728;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;5;Jl. Tomang Pulo Gg. Viii Rt 005 / RW 05 Didepan Gg.VIII, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.177001;106.807537;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;5;Jl. Timbul Ujung  RT 02 / RW 05 Samping gedung pertemuan, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.177582;106.806506;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;6;Jl Tomang Pulo Iv  RT 004 / RW 06 Di depan rumah No 25, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.178807;106.808207;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;6;Jl. Tomang Pulo Gg. Iva RT 002 / RW 06 Didepan rumah No. 25, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.17845;106.807708;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;7;Jl Semangka Ii Gg 59 RT 005 / 007 Depan rumah No. 1C / Depan rumah No. 17, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.179954;106.808735;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;7;Jl Semangka Ii Gg T RT 005 / RW 07 Depan kontrakan Pak Budhi, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.180146;106.808608;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;7;Jl Semangka Ii No. 12 RT 013 / RW 07 Depan rumah ibu Tari , Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.180238;106.807742;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;8;Jl Z Jatipulo  RT 004 / RW 08 Sebelah Gg Srikaya / Depan warkop Puro , Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.180795;106.80909;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;8;Jl Z Jatipulo RT 016 / RW 08 Depan masjid As Samiri / Depan rumah no. 13, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.181101;106.80923;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;9;Jl Semangka Iii  RT 009 / RW 09 Depan rumah no.6 , Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.180802;106.806402;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;9;Jl Semangka Iv Gg Jawa RT 008 / RW 09 Depan rumah Bp Anda, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.180949;106.806909;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Palmerah;Jatipulo;9;Jl Semangka 4 RT 06 / RW 09 Depan rumah nomer 41, Kel. Jatipulo, Kec. Palmerah, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.181247;106.80733;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;9;Gang Jaya No 10 Rt 02 Rw 09 1, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1266431;106.7237167;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;9;Jalan 13 A  Rt 01 Rw 09 34, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.126373;106.723038;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;9;Jalan Jaya Vii  Rt 007 Rw 09 51, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1279481;106.7247905;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;9;Jalan Jaya No 8 Rt 07 Rw 09 19, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1279841;106.7247905;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;10;Jalan Pulo Harapan Indah 09/10 49, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.132487;106.722473;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;10;Pulo Harapan Indah  10/10 4, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.132801;106.723893;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;10;Jalan Dharma Bakti  04/10 19b, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.128228;106.721795;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Barat;10;Jalan Jaya 25 02/10 79, Kel. Cengkareng Barat, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.128013;106.72217;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Timur;3;Jl Bangun Nusa Raya  Rt 02 Rw 03 19, Kel. Cengkareng Timur, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.15052;106.732878;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Timur;3;Gang Nusa Indah Rt 04 Rw 03 55, Kel. Cengkareng Timur, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.151184;106.734761;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Timur;11;Jl Musola Nurul Ittihad  Rt 13 rw 11 A2, Kel. Cengkareng Timur, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.1233005;106.7328723;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Timur;11;Gang Madrasah  Rt 11 rw 11 78, Kel. Cengkareng Timur, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.12444946;106.7320811;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Cengkareng Timur;11;Jalan Kayu Besar Dalam Rt 02 rw 011 1, Kel. Cengkareng Timur, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.128183;106.735983;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;4;Jl Timbul Jaya  RT 02 RW 04  68, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.153493;106.721548;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;4;Jl Timbul Jaya (Rumah Ketua Rt 9/4) RT 09/04 Rumah ketua rt 09/04, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.15930212;106.7215347;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;4;Jl Kp Duri  RT 10 RW 04 129d, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.160092;106.721926;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;5;Jl. Kp Duri  RT 001 RW 05  92, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.153961;106.72044;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;5;Jl. Kp. Duri  RT 06 RW 05 135, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.158116;106.720463;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;6;Jl.Kh. Abdul Wahab 1 No.32 Rt.01/Rw 06 RT 01 RW 06  24, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.154749;106.726139;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;6;Jl Kh Abdul Wahab RT 05 RW 06  06, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.156771;106.724978;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;6;Jl Kh Abdul Wahab  RT 06 RW 06  54, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.158841;106.724906;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;14;Jl Tomat Raya Gang Japar Rt 3/14 28, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.15629753;106.7166175;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Duri Kosambi;14;Jl Tomat Raya (Nurul Intan Atau Rumah Ketua Rt) RT 08/14 No. 29B, Kel. Duri Kosambi, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.15740864;106.7189955;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;1;Gang Jaro Rt 04 Rw 01 31, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.143046;106.767467;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;3;Jalan Irigasi Rt 02 rw 03 3, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.1310145;106.7456351;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;3;Jalan Kapuk Gang Empang  Rt 03 rw 03 14, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.1327881;106.7471507;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;3;Gang Kong Hj Mimin Rt 18 rw 03 44, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.1346105;106.7426595;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;3;Jalan Jalan 3 Rt 017 rw 03 45, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Sangat Ringan;Bali Tower;Jakwifi Apbd;1;-6.1324032;106.7439765;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;4;Jalan Poglar Samping Kir Rt 07 rw 04 83, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1469338;106.7692623;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;4;Jalan Poglar Samping Kir Rt 07 rw 04 3, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1466089;106.7691485;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;7;Jalan Kapuk Proyek  Rt 04 rw 07  89, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1481745;106.7651985;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;11;Gang Sironda  Rt 07 Rw 11 197, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.12888083;106.737725;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;11;Jalan Ampera 12 Rt 06 Rw 11 121, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.1284582;106.739647;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;11;Gang Jambu  Rt 05 Rw 11 65, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.128777;106.74065;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;12;Jalan Perkampungan Kapuk, Deket Pangkalan Ojek 9/12 177, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.138366;106.74724;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;12;Blok A Rt 07 Rw 12 RT 07 RW 12 77, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.137219;106.75014;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;12;Jl Perkampungan Kapuk  18/12 27, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.138117;106.749698;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;16;Jalan Pedongkelan Belakang, Sekertariat 19/16 71, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.14082;106.7437;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;16;Jl.Garikas Rt 012/ Rw 16 RT 12 / RW 16 180, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-6.139285;106.747132;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kapuk;16;Jl. Gragas 5 Kel Kapuk  RT 12 RW 16 13, Kel. Kapuk, Kec. Cengkareng, Kota Jakarta Barat;Berat;Bali Tower;Jakwifi Apbd;1;-613857;106.746865;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kedaung Kali Angke;1;Gang Bulak 03/01 12, Kel. Kedaung Kaliangke, Kec. Cengkareng, Kota Jakarta Barat;Sedang;Bali Tower;Jakwifi Apbd;1;-6.151138;106.7701;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kedaung Kali Angke;2;Jl. Pool Ppd Deket Gg Samping Warteg 07/02 97, Kel. Kedaung Kaliangke, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.152637;106.765625;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kedaung Kali Angke;3;Jalan Komp. Departemen Agama 13/3 50, Kel. Kedaung Kaliangke, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.156511;106.758901;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kedaung Kali Angke;3;Jalan Tawangmangu 5/3 5, Kel. Kedaung Kaliangke, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.155639;106.759548;10-50 Mbps;online
202303;RW TERPADU;Jakarta Barat;Cengkareng;Kedaung Kali Angke;3;Jaan Tawamangu 11/3 51c, Kel. Kedaung Kaliangke, Kec. Cengkareng, Kota Jakarta Barat;Ringan;Bali Tower;Jakwifi Apbd;1;-6.153947;106.761086;10-50 Mbps;online
